Time (s), Node Label, Z Position (m), U1 Displacement (m)
0.0,2,-3600.0,0.0
0.0,3,-4100.0,0.0
0.0,6,-2500.0,0.0
0.0,35,-3601.0,0.0
0.0,36,-3602.03662109375,0.0
0.0,37,-3603.11108398438,0.0
0.0,38,-3604.22485351562,0.0
0.0,39,-3605.37939453125,0.0
0.0,40,-3606.57592773438,0.0
0.0,41,-3607.81640625,0.0
0.0,42,-3609.10229492188,0.0
0.0,43,-3610.43505859375,0.0
0.0,44,-3611.81665039062,0.0
0.0,45,-3613.24877929688,0.0
0.0,46,-3614.7333984375,0.0
0.0,47,-3616.27221679688,0.0
0.0,48,-3617.8671875,0.0
0.0,49,-3619.5205078125,0.0
0.0,50,-3621.234375,0.0
0.0,51,-3623.0107421875,0.0
0.0,52,-3624.85229492188,0.0
0.0,53,-3626.76098632812,0.0
0.0,54,-3628.73974609375,0.0
0.0,55,-3630.79052734375,0.0
0.0,56,-3632.91650390625,0.0
0.0,57,-3635.1201171875,0.0
0.0,58,-3637.40454101562,0.0
0.0,59,-3639.77221679688,0.0
0.0,60,-3642.2265625,0.0
0.0,61,-3644.77075195312,0.0
0.0,62,-3647.40795898438,0.0
0.0,63,-3650.1416015625,0.0
0.0,64,-3652.97509765625,0.0
0.0,65,-3655.91235351562,0.0
0.0,66,-3658.95678710938,0.0
0.0,67,-3662.11279296875,0.0
0.0,68,-3665.38403320312,0.0
0.0,69,-3668.77514648438,0.0
0.0,70,-3672.2900390625,0.0
0.0,71,-3675.93359375,0.0
0.0,72,-3679.71020507812,0.0
0.0,73,-3683.625,0.0
0.0,74,-3687.68310546875,0.0
0.0,75,-3691.88940429688,0.0
0.0,76,-3696.24951171875,0.0
0.0,77,-3700.76928710938,0.0
0.0,78,-3705.4541015625,0.0
0.0,79,-3710.31030273438,0.0
0.0,80,-3715.34423828125,0.0
0.0,81,-3720.56201171875,0.0
0.0,82,-3725.970703125,0.0
0.0,83,-3731.5771484375,0.0
0.0,84,-3737.388671875,0.0
0.0,85,-3743.41259765625,0.0
0.0,86,-3749.65698242188,0.0
0.0,87,-3756.12939453125,0.0
0.0,88,-3762.8388671875,0.0
0.0,89,-3769.79345703125,0.0
0.0,90,-3777.00244140625,0.0
0.0,91,-3784.47509765625,0.0
0.0,92,-3792.220703125,0.0
0.0,93,-3800.25,0.0
0.0,94,-3808.57250976562,0.0
0.0,95,-3817.19970703125,0.0
0.0,96,-3826.14208984375,0.0
0.0,97,-3835.41162109375,0.0
0.0,98,-3845.02001953125,0.0
0.0,99,-3854.97998046875,0.0
0.0,100,-3864.58837890625,0.0
0.0,101,-3873.85791015625,0.0
0.0,102,-3882.80029296875,0.0
0.0,103,-3891.42749023438,0.0
0.0,104,-3899.75,0.0
0.0,105,-3907.779296875,0.0
0.0,106,-3915.52490234375,0.0
0.0,107,-3922.99755859375,0.0
0.0,108,-3930.20654296875,0.0
0.0,109,-3937.1611328125,0.0
0.0,110,-3943.87060546875,0.0
0.0,111,-3950.34301757812,0.0
0.0,112,-3956.58740234375,0.0
0.0,113,-3962.611328125,0.0
0.0,114,-3968.4228515625,0.0
0.0,115,-3974.029296875,0.0
0.0,116,-3979.43798828125,0.0
0.0,117,-3984.65576171875,0.0
0.0,118,-3989.68969726562,0.0
0.0,119,-3994.5458984375,0.0
0.0,120,-3999.23071289062,0.0
0.0,121,-4003.75048828125,0.0
0.0,122,-4008.11059570312,0.0
0.0,123,-4012.31689453125,0.0
0.0,124,-4016.375,0.0
0.0,125,-4020.28979492188,0.0
0.0,126,-4024.06640625,0.0
0.0,127,-4027.7099609375,0.0
0.0,128,-4031.22485351562,0.0
0.0,129,-4034.61596679688,0.0
0.0,130,-4037.88720703125,0.0
0.0,131,-4041.04321289062,0.0
0.0,132,-4044.08764648438,0.0
0.0,133,-4047.02490234375,0.0
0.0,134,-4049.8583984375,0.0
0.0,135,-4052.59204101562,0.0
0.0,136,-4055.22924804688,0.0
0.0,137,-4057.7734375,0.0
0.0,138,-4060.22778320312,0.0
0.0,139,-4062.59545898438,0.0
0.0,140,-4064.8798828125,0.0
0.0,141,-4067.08349609375,0.0
0.0,142,-4069.20947265625,0.0
0.0,143,-4071.26025390625,0.0
0.0,144,-4073.23901367188,0.0
0.0,145,-4075.14770507812,0.0
0.0,146,-4076.9892578125,0.0
0.0,147,-4078.765625,0.0
0.0,148,-4080.4794921875,0.0
0.0,149,-4082.1328125,0.0
0.0,150,-4083.72778320312,0.0
0.0,151,-4085.2666015625,0.0
0.0,152,-4086.75122070312,0.0
0.0,153,-4088.18334960938,0.0
0.0,154,-4089.56494140625,0.0
0.0,155,-4090.89770507812,0.0
0.0,156,-4092.18359375,0.0
0.0,157,-4093.42407226562,0.0
0.0,158,-4094.62060546875,0.0
0.0,159,-4095.77514648438,0.0
0.0,160,-4096.88916015625,0.0
0.0,161,-4097.96337890625,0.0
0.0,162,-4099.0,0.0
0.0,626,-2501.0,0.0
0.0,627,-2502.01684570312,0.0
0.0,628,-2503.05053710938,0.0
0.0,629,-2504.1015625,0.0
0.0,630,-2505.17016601562,0.0
0.0,631,-2506.25659179688,0.0
0.0,632,-2507.361328125,0.0
0.0,633,-2508.484375,0.0
0.0,634,-2509.62622070312,0.0
0.0,635,-2510.78735351562,0.0
0.0,636,-2511.9677734375,0.0
0.0,637,-2513.16796875,0.0
0.0,638,-2514.38818359375,0.0
0.0,639,-2515.62890625,0.0
0.0,640,-2516.89013671875,0.0
0.0,641,-2518.1728515625,0.0
0.0,642,-2519.47680664062,0.0
0.0,643,-2520.80249023438,0.0
0.0,644,-2522.150390625,0.0
0.0,645,-2523.52099609375,0.0
0.0,646,-2524.91430664062,0.0
0.0,647,-2526.3310546875,0.0
0.0,648,-2527.771484375,0.0
0.0,649,-2529.23608398438,0.0
0.0,650,-2530.72509765625,0.0
0.0,651,-2532.23901367188,0.0
0.0,652,-2533.7783203125,0.0
0.0,653,-2535.34326171875,0.0
0.0,654,-2536.93432617188,0.0
0.0,655,-2538.55224609375,0.0
0.0,656,-2540.19702148438,0.0
0.0,657,-2541.86938476562,0.0
0.0,658,-2543.56982421875,0.0
0.0,659,-2545.29858398438,0.0
0.0,660,-2547.05615234375,0.0
0.0,661,-2548.84326171875,0.0
0.0,662,-2550.66015625,0.0
0.0,663,-2552.50756835938,0.0
0.0,664,-2554.38598632812,0.0
0.0,665,-2556.29565429688,0.0
0.0,666,-2558.2373046875,0.0
0.0,667,-2560.21142578125,0.0
0.0,668,-2562.21850585938,0.0
0.0,669,-2564.25903320312,0.0
0.0,670,-2566.333984375,0.0
0.0,671,-2568.44360351562,0.0
0.0,672,-2570.58837890625,0.0
0.0,673,-2572.76904296875,0.0
0.0,674,-2574.98608398438,0.0
0.0,675,-2577.24047851562,0.0
0.0,676,-2579.53247070312,0.0
0.0,677,-2581.86279296875,0.0
0.0,678,-2584.23193359375,0.0
0.0,679,-2586.64086914062,0.0
0.0,680,-2589.09008789062,0.0
0.0,681,-2591.58032226562,0.0
0.0,682,-2594.11206054688,0.0
0.0,683,-2596.68627929688,0.0
0.0,684,-2599.30346679688,0.0
0.0,685,-2601.96459960938,0.0
0.0,686,-2604.67016601562,0.0
0.0,687,-2607.4208984375,0.0
0.0,688,-2610.21752929688,0.0
0.0,689,-2613.06127929688,0.0
0.0,690,-2615.95239257812,0.0
0.0,691,-2618.89184570312,0.0
0.0,692,-2621.88037109375,0.0
0.0,693,-2624.9189453125,0.0
0.0,694,-2628.00854492188,0.0
